id,PCode,Description,Charge,ServiceCharge,SCPcorTk,Vat,VatPcOrTk,LessAmount,RefFee,RefFeePcOrTk,ReportFee,ReportFeePcOrTk,CollectionFee,CollectionFeePcOrTk,OthersFee,OthersFeePcOrTk,ReportDeliverDuration,OutTest,CanChangePrice,ShowDoctorCode,CanGiveLess,ReportFileName,IsAdjustAmt,IsShow,UserName,BranchId,SubSubDeptName,SubDeptName,DeptName,VaqGroup,VaqName,VaqPrice,VaqVat,VaqComm,VaqStatus,OutdoorReportGroup,AccountGroup,DiscountGroup,IndoorBillGroup,Unit,Status,CorporateLess,AcCode,AcName,HonoriumGroup,CreatedAt,CanChangeQty,LessType,CanEdit,ReportGroupName,StickerName,LabReportFileName,UserLog,IpdRefFee,IpdRefFeePcOrTk
177,1,Admission Charge (General Bed),200,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,admin,1,Indoor,Indoor,INDOOR,0,0,0,0,0,0,Clinical,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,Indoor,Indoor,,0,Tk.
798,2,Bed Charge,1,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,1,0,1,Indoor,0,1,admin,1,Indoor,Bed Rent,INDOOR,0,0,0,0,0,0,Clinical,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor,Indoor,00:00.0,1,%,0,NULL,Indoor,Indoor,,0,Tk.
799,3,Dr. Visit (Indoor),1000,0,%,0,%,0,0,%,0,%,0,%,0,%,0,0,0,1,1,Indoor,0,0,omedul,1,Clinical Consultant,Indoor,INDOOR,0,0,0,0,0,0,Clinical Consultant,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor,Indoor,00:00.0,1,%,0,NULL,Indoor,Indoor,,0,Tk.
800,4,Surgeon Fee,0,0,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,1,0,1,Indoor,0,1,alim,1,Indoor,Indoor,INDOOR,0,0,0,0,0,0,Indoor,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor,Indoor,00:00.0,0,Tk.,0,NULL,Indoor,Indoor,,0,Tk.
801,5,Assistant Fee,0,0,%,0,%,0,0,%,0,%,0,%,0,%,0,0,1,1,1,Indoor,0,1,alim,1,Indoor,Indoor,INDOOR,0,0,0,0,0,0,Indoor,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor,Indoor,00:00.0,1,%,0,NULL,Indoor,Indoor,,0,Tk.
802,6,Anesthesia ,1000,0,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,1,0,0,GastroSuite,0,1,admin,1,GastroSuite,GastroSuite,GastroSuite,0,0,0,0,0,0,GastroSuit,0,0,Non Hospital Income,1,1,1,3101300001,Income From GastroSuite,GastroSuite,00:00.0,1,Tk.,1,Anesthesia ,GastroSuite,GastroSuite,,0,Tk.
803,7,Nurse Fee,100,0,%,0,%,0,0,%,0,%,0,%,0,%,0,0,0,0,1,Indoor,0,1,admin,1,Indoor,Indoor,INDOOR,0,0,0,0,0,0,Clinical,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor,Indoor,00:00.0,0,%,0,NULL,Indoor,Indoor,,0,Tk.
804,8,OT Team Charge,0,0,%,0,%,0,0,%,0,%,0,%,0,%,0,0,1,1,1,Indoor,0,1,alim,1,Indoor,Indoor,INDOOR,0,0,0,0,0,0,Clinical,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor,Indoor,00:00.0,0,Tk.,0,NULL,Indoor,Indoor,,0,Tk.
805,9,Medicine,1000,0,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,1,0,0,GastroSuite,0,1,admin,1,GastroSuite,GastroSuite,GastroSuite,0,0,0,0,0,0,GastroSuit,0,0,Non Hospital Income,1,1,1,3101300001,Income From GastroSuite,GastroSuite,00:00.0,1,Tk.,1,GastroSuite,GastroSuite,GastroSuite,,0,Tk.
806,10,Extra Bed Charge,0,10,%,0,%,0,0,%,0,%,0,%,0,%,0,0,1,0,1,Indoor,0,1,admin,1,Extra Service,Indoor,INDOOR,0,0,0,0,0,0,Extra Service,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor,Indoor,00:00.0,1,%,0,NULL,Indoor,Indoor,,0,Tk.
